Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported direct emissions from Local Distribution Companies,Carbon emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Does the facility employ continuous emissions monitoring? 
1002895,110071161697,Public Service Company of Colorado,CO,Denver,CO,80202,1800 Larimer Street,DENVER COUNTY,39.75107,-104.99502,193670.7,233.2,193437.5,,N
1005387,110043790092,Puget Sound Energy LDC,WA,Bellevue,WA,98004,10885 NE 4th St,KING COUNTY,47.61373,-122.19453,64595.446,1327.1,63267.75,0.596,N
1003576,110071161403,Rochester Gas & Electric Corp,NY,Rochester,NY,14649,89 East Avenue,MONROE COUNTY,43.2689,-77.6294,29663.45,35.7,29627.75,,N
1005435,110071159463,Rock Energy Cooperative,IL,Janesville,WI,53547,2815 Kennedy Rd.,ROCK COUNTY,42.716023,-89.005927,828.15,0.9,827.25,,N
1007125,110071160774,SAN DIEGO GAS & ELECTRIC (LDC),CA,SAN DIEGO,CA,92123,8316 CENTURY PARK CT,SAN DIEGO COUNTY,32.823398,-117.144081,54514.35,65.6,54448.75,,N
1004654,110071161206,SCE&G Gas Operations,SC,Cayce,SC,29033,220 Operations Way,LEXINGTON COUNTY,33.957997,-81.04796,44885.5,54,44831.5,,N
1003026,110071161228,SEMCO Energy Gas Company,MI,Port Huron,MI,48060,"1411 Third St, Suite A",ST. CLAIR COUNTY,42.975187,-82.464445,35698.892,1530.7,34167,1.192,N
1005209,110071159194,SOUTHERN CALIFORNIA GAS CO End User Emissions (LDC),CA,LOS ANGELES,CA,90013,555 WEST 5TH STREET,LOS ANGELES COUNTY,34.043925,-118.242429,1255796.9,1511.9,1254285,,N
1011114,,Sandpiper Energy,MD,Salisbury,MD,21804,32145 Beaver Run Dr,,39.114747,-75.750871,1416.2,1.7,1414.5,,N
1007602,110071160155,South Jersey Gas Company,NJ,Folsom,NJ,8037,One South Jersey Plaza,ATLANTIC COUNTY,39.643728,-74.757115,50302.694,1453.3,48848.5,0.894,N
1005674,110071159484,Southern Connecticut Gas Company,CT,Orange,CT,6477,60 Marsh Hill Rd,NEW HAVEN COUNTY,41.25052,-72.9996,102612.542,2028.6,100582.75,1.192,N
1004112,110071160442,Southern Indiana Gas & Electric Company,IN,Evansville,IN,47711,One Vectren Square,VANDERBURGH COUNTY,38.005965,-87.549475,22494.6,27.1,22467.5,,N
1006640,110071160910,Southwest Gas - Arizona,AZ,Las Vegas,NV,89150,5241 Spring Mountain Road,CLARK COUNTY,36.12604,-115.21297,93945,113,93832,,N
1006638,110071162171,Southwest Gas - California,CA,Las Vegas,NV,89150,5241 Spring Mountain Road,CLARK COUNTY,36.12604,-115.21297,15053,18,15035,,N
1006639,110071159970,Southwest Gas - Nevada,NV,Las vegas,NV,89150,5241 Spring Mountain Road,CLARK COUNTY,36.12604,-115.21297,44579.1,53.6,44525.5,,N
1005967,110071161141,Spire Alabama,AL,BIRMINGHAM,AL,35203,2101 6th Avenue North,JEFFERSON COUNTY,33.520058,-86.807637,156817.5,187.5,156630,,N
1003336,110071161339,Spire Gulf Inc.,AL,Mobile,AL,36606,2828 Dauphin St,MOBILE COUNTY,30.68858,-88.10822,12087.85,14.6,12073.25,,N
1001688,110071160157,Spire Mississippi,MS,Hattiesburg,MS,39401,1614 West 4th Street,FORREST COUNTY,31.214868,-89.284725,3062.85,3.6,3059.25,,N
1002544,110071159522,Spire Missouri East,MO,St. Louis,MO,63101,700 Market Street,ST. LOUIS CITY,38.628363,-90.191527,79336.65,115.9,79220.75,,N
1004482,110071160005,Spire Missouri West,MO,KANSAS CITY,MO,64129,7500 E. 35th Terrace,JACKSON COUNTY,39.06574,-94.59022,53079.85,64.1,53015.75,,N
1006297,110071162237,"Summit Utilities Inc., Arkansas (Arkansas)",AR,Centennial,CO,80112,10825 E. Geddes Ave.; Suite 410,HARRIS COUNTY,29.75761,-95.36826,81794.5,98.5,81696,,N
1004195,110071160440,"Summit Utilities Inc., Oklahoma",OK,Centennial,CO,80112,10825 E. Geddes Ave.; Suite 410,HARRIS COUNTY,29.75761,-95.36826,14018.9,16.9,14002,,N
1006771,110071160872,TECO Peoples Gas,FL,Tampa,FL,33602,702 North Franklin Street,HILLSBOROUGH COUNTY,27.95029,-82.4591,62741.196,1354.1,61386.5,0.596,N
1002482,110071161188,THE BROOKLYN UNION GAS COMPANY,NY,Brooklyn,NY,11201,One MetroTech Center,KINGS COUNTY,40.698677,-73.985941,190925.88,4318.4,186604.5,2.98,N
1002604,110071160503,THE NARRAGANSETT ELECTRIC COMPANY,RI,Providence,RI,2907,280 Melrose Street,PROVIDENCE COUNTY,41.795681,-71.426968,133351,160.5,133190.5,,N
1004336,110071160981,Texas Gas Service,TX,Austin,TX,78746,1301 S Mopac Expressway,TRAVIS COUNTY,30.26229,-97.78925,119995.75,144.5,119851.25,,N
1001966,110071159549,The Peoples Gas Light and Coke Company,IL,CHICAGO,IL,60601,200 East Randolph Street,COOK COUNTY,41.88448,-87.62312,162831.386,4168.3,158661,2.086,N
1005723,110071159222,Trussville Utilities,AL,Trussville,AL,35173,127 Main Street,JEFFERSON COUNTY,33.621523,-86.602293,2210.95,2.7,2208.25,,N
1007356,110071160012,"UGI Utilities, Inc.",PA,Denver,PA,17517,1 UGI Drive,,40.372376,-75.915056,136750.1,164.6,136585.5,,N
1000600,110071160542,UNS Gas,AZ,Flagstaff,AZ,86001,"2901 W. Shamrell Blvd., Suite 110",COCONINO COUNTY,35.13778,-111.68052,15049.2,18.2,15031,,N
1004296,110071160413,Vectren Energy Delivery of Ohio,OH,Evansville,IN,47708,One Vectren Square,VANDERBURGH COUNTY,37.973424,-87.575423,41753.55,50.3,41703.25,,N
1003922,110071160358,"Vermont Gas Systems, Inc.",VT,South Burlington,VT,5403,85 Swift Street,CHITTENDEN COUNTY,44.449349,-73.160781,4100.9,4.9,4096,,N
1004180,110043793909,Virginia Natural Gas,VA,Norfolk,VA,23510,150 West Main Street,NORFOLK CITY,36.84668,-76.29339,50813.9,4929.4,45884.5,,N
1001917,110071160959,WASHINGTON GAS LIGHT COMPANY,DC,SPRINGFIELD,VA,22151,6801 INDUSTRIAL ROAD,FAIRFAX COUNTY,38.79844,-77.1793,69894.45,84.2,69810.25,,N
1004120,110071160445,WISCONSIN ELECTRIC POWER COMPANY,WI,MILWAUKEE,WI,53201,231 W. MICHIGAN ST.,MILWAUKEE COUNTY,43.03741,-87.91381,56173.35,67.6,56105.75,,N
1004293,110071160446,WISCONSIN GAS COMPANY,WI,MILWAUKEE,WI,53201,231 W. MICHIGAN ST.,MILWAUKEE COUNTY,43.03741,-87.91381,61520.1,74.1,61446,,N
1007849,110071160721,Washington Gas Light Company (MD),MD,Springfield,VA,22151,6801 Industrial Road,FAIRFAX COUNTY,38.79844,-77.1793,51677.95,93.7,51584.25,,N
1007850,110071160723,Washington Gas Light Company (VA),VA,Springfield,VA,22151,6801 Industrial Rd,FAIRFAX COUNTY,38.79844,-77.1793,49393.1,72.6,49320.5,,N
1011115,110010642073,"West Texas Gas Utility, LLC",TX,Midland,TX,79705,303 Veterans Airpark Ln. Ste 5000,MIDLAND COUNTY,31.99906,-102.07688,31463.65,37.9,31425.75,,N
1002025,110071161924,Wisconsin Power & Light Gas Distribution,WI,Madison,WI,53718,4902 North Biltmore Lane,DANE COUNTY,43.15217,-89.29536,22191.1,162.6,22028.5,,N
1002250,110071160885,Wisconsin Public Service Corporation,WI,Green Bay,WI,54307,700 North Adams,BROWN COUNTY,44.518347,-88.011616,39715.648,444.6,39270.75,0.298,N
1007107,110071161440,Yankee Gas Supply,CT,Berlin,CT,6037,107 Selden Street,HARTFORD COUNTY,41.614604,-72.780642,46409.15,55.9,46353.25,,N
